rho,u,v,x,y,S
0.938219,0.975814,0.037825,0.998148,1.802491,47.395827
0.936853,0.947854,-0.020168,0.998148,-1.800207,46.058338
0.946933,1.096065,-0.026117,0.998148,-5.842957,18.496120
0.948747,1.094001,0.026655,0.998148,5.862382,18.402087
0.953369,1.041649,0.006993,-9.313176,1.802491,10.981156
0.953710,1.041045,-0.005098,-9.313176,-1.800207,10.975169
0.948654,1.079026,0.015811,0.998148,9.916184,10.827911
0.950470,1.077663,-0.012400,0.998148,-9.961011,10.765610
0.940137,0.986168,-0.096282,9.727486,1.802491,10.015657
0.942331,0.962983,-0.012933,9.727486,-1.800207,9.735194
0.949287,1.091015,-0.003184,9.727486,-5.842957,9.614690
0.948731,1.088317,-0.000880,9.727486,5.862382,9.582412
0.952241,1.049494,-0.012711,-9.313176,-5.842957,9.546472
0.952580,1.049978,0.010730,-9.313176,5.862382,9.541703
0.948905,1.084081,0.009303,9.727486,9.916184,7.804590
0.949215,1.083602,0.000596,9.727486,-9.961011,7.782903
0.951367,1.054691,0.005949,-9.313176,9.916184,7.752987
0.950936,1.055015,-0.010543,-9.313176,-9.961011,7.737025
0.946958,1.074702,0.006382,0.998148,13.932223,7.694199
0.950212,1.070269,-0.006487,0.998148,-13.993340,7.629172
0.948468,1.079553,0.004235,9.727486,13.932223,6.353323
0.948941,1.077860,-0.001049,9.727486,-13.993340,6.324643
0.950825,1.055151,0.004158,-9.313176,13.932223,6.296321
0.951053,1.054976,-0.004191,-9.313176,-13.993340,6.276234
0.948803,1.069426,0.002066,0.998148,17.933706,5.954015
0.950560,1.067034,-0.003273,0.998148,-17.925315,5.943487
0.947915,1.094333,0.003675,19.765434,5.862382,5.308076
0.948161,1.077026,-0.006324,9.727486,17.933706,5.279114
0.949518,1.087515,0.008696,19.765434,-5.842957,5.276557
0.948668,1.075971,-0.002738,9.727486,-17.925315,5.275775
0.950854,1.055416,-0.000178,-9.313176,-17.925315,5.224753
0.950371,1.055551,0.004894,-9.313176,17.933706,5.223553
0.945285,0.984762,0.048774,19.765434,-1.800207,4.967790
0.942691,0.984285,-0.033150,19.765434,1.802491,4.962064
0.949605,1.085770,0.006961,19.765434,9.916184,4.910107
0.948428,1.084661,-0.001131,19.765434,-9.961011,4.900532
0.947134,1.083741,-0.002077,19.765434,-13.993340,4.475045
0.950299,1.080189,0.003711,19.765434,13.932223,4.466900
0.947598,1.081230,-0.002751,19.765434,-17.925315,4.052124
0.949543,1.078537,-0.002140,19.765434,17.933706,4.041174
0.976312,1.064898,0.005217,29.853700,-5.842957,3.500678
0.975635,1.059819,-0.015335,29.853700,5.862382,3.483879
0.974098,1.061332,-0.001728,29.853700,-9.961011,3.372348
0.975103,1.058245,-0.004842,29.853700,9.916184,3.364082
0.975356,1.054525,-0.001958,29.853700,-13.993340,3.198391
0.976599,1.053096,-0.000263,29.853700,13.932223,3.196561
0.970600,0.935566,-0.015407,29.853700,1.802491,3.128563
0.971793,0.929803,0.033540,29.853700,-1.800207,3.110906
0.974777,1.052663,0.002175,29.853700,-17.925315,3.023003
0.975468,1.052053,0.002042,29.853700,17.933706,3.020875
1.032817,1.008142,0.005504,39.898223,-5.842957,2.500154
1.032683,1.001538,-0.001648,39.898223,-9.961011,2.435482
1.031574,0.999873,0.004826,39.898223,9.916184,2.432097
1.030435,0.967811,0.009427,39.898223,5.862382,2.400045
1.031271,0.999028,0.001459,39.898223,13.932223,2.363962
1.031304,0.999503,-0.000232,39.898223,-13.993340,2.363954
1.029272,0.939118,0.001643,39.898223,-1.800207,2.351396
1.031590,0.997742,0.004420,39.898223,17.933706,2.280919
1.031632,0.997499,-0.001692,39.898223,-17.925315,2.280523
1.026524,0.838483,-0.009088,39.898223,1.802491,2.099537
1.087203,0.961631,0.006875,49.932702,9.916184,1.889013
1.086465,0.954957,-0.006588,49.932702,-9.961011,1.875577
1.085621,0.938866,-0.010405,49.932702,-5.842957,1.867635
1.084982,0.935683,0.018701,49.932702,5.862382,1.861478
1.086231,0.956713,0.004784,49.932702,13.932223,1.845536
1.085503,0.953287,-0.003439,49.932702,-13.993340,1.838332
1.086140,0.953034,0.001154,49.932702,17.933706,1.796295
1.085772,0.952159,0.000492,49.932702,-17.925315,1.794741
1.081068,0.799260,-0.009390,49.932702,-1.800207,1.599745
1.081891,0.776693,-0.021518,49.932702,1.802491,1.555063
1.140055,0.922964,-0.000649,59.912909,9.916184,1.519833
1.139887,0.920541,-0.007464,59.912909,-9.961011,1.515710
1.138808,0.911735,-0.002899,59.912909,5.862382,1.514541
1.138547,0.905027,-0.010682,59.912909,-5.842957,1.503542
1.139793,0.916333,-0.000996,59.912909,13.932223,1.489695
1.140088,0.914185,-0.005559,59.912909,-13.993340,1.485894
1.139544,0.913164,-0.001535,59.912909,17.933706,1.460145
1.139164,0.912419,-0.002654,59.912909,-17.925315,1.459013
1.192557,0.883946,-0.005448,69.842225,-9.961011,1.252978
1.134662,0.746535,0.010753,59.912909,-1.800207,1.245601
1.193406,0.875780,0.003272,69.842225,9.916184,1.241498
1.133605,0.740443,0.012472,59.912909,1.802491,1.235482
1.192687,0.878376,-0.002280,69.842225,-13.993340,1.233154
1.193142,0.874257,0.001382,69.842225,13.932223,1.227576
1.192645,0.874186,-0.001598,69.842225,-17.925315,1.212367
1.192751,0.873139,-0.000732,69.842225,17.933706,1.210878
1.190691,0.834445,-0.019330,69.842225,-5.842957,1.190917
1.191109,0.831156,0.019798,69.842225,5.862382,1.186214
1.236358,0.874436,-0.001291,79.553366,9.916184,1.090743
1.235168,0.868101,-0.003071,79.553366,5.862382,1.088275
1.236445,0.861146,-0.001192,79.553366,-9.961011,1.074089
1.236301,0.864653,0.000073,79.553366,13.932223,1.070590
1.236228,0.861751,-0.002140,79.553366,-13.993340,1.066861
1.236140,0.861407,0.000202,79.553366,17.933706,1.056297
1.236224,0.860999,-0.000792,79.553366,-17.925315,1.055820
1.234771,0.827564,-0.011165,79.553366,-5.842957,1.037563
1.188161,0.695997,-0.008792,69.842225,-1.800207,0.996277
1.187442,0.654912,0.014078,69.842225,1.802491,0.937607
1.231709,0.703558,0.004322,79.553366,1.802491,0.884175
1.232064,0.636296,-0.006388,79.553366,-1.800207,0.799671
